Date,Time,Open,High,Low,Close,Volume,Turnover,OpenInterest
3/3/95,0:00:00,3975.08,3980.62,3959.52,3972.66,0,0,0
3/6/95,0:00:00,3989.61,3989.61,3955.72,3975.08,0,0,0
3/7/95,0:00:00,3975.43,4001.02,3981.3,3981.3,0,0,0
3/8/95,0:00:00,3982,3983.73,3960.21,3960.21,0,0,0
3/9/95,0:00:00,3957.1,3985.45,3975.08,3979.92,0,0,0
3/10/95,0:00:00,3977.85,4003.79,3971.28,4003.79,0,0,0
3/13/95,0:00:00,4035.61,4042.18,4025.58,4026.62,0,0,0
3/14/95,0:00:00,4025.92,4059.12,4020.05,4058.43,0,0,0
3/15/95,0:00:00,4056.7,4060.51,4030.07,4030.77,0,0,0
3/16/95,0:00:00,4032.84,4058.08,4029.04,4056.01,0,0,0
3/20/95,0:00:00,4073.65,4088.87,4072.27,4074,0,0,0
3/21/95,0:00:00,4075.72,4099.24,4072.27,4098.55,0,0,0
3/22/95,0:00:00,4093.71,4108.92,4067.77,4078.49,0,0,0
3/23/95,0:00:00,4075.38,4083.68,4068.11,4083.68,0,0,0
3/24/95,0:00:00,4080.91,4120.34,4087.14,4114.8,0,0,0
3/27/95,0:00:00,4138.67,4145.24,4134.86,4140.05,0,0,0
3/28/95,0:00:00,4140.4,4157.34,4137.63,4143.85,0,0,0
3/29/95,0:00:00,4141.43,4189.5,4148,4186.73,0,0,0
3/30/95,0:00:00,4194.34,4198.49,4154.58,4169.79,0,0,0
3/31/95,0:00:00,4171.52,4183.28,4112.04,4141.43,0,0,0
4/3/95,0:00:00,4157.69,4171.52,4156.31,4163.57,0,0,0
4/4/95,0:00:00,4164.26,4188.81,4168.41,4182.24,0,0,0
4/5/95,0:00:00,4181.2,4210.25,4188.47,4201.26,0,0,0
4/6/95,0:00:00,4199.19,4224.08,4201.26,4203.34,0,0,0
4/7/95,0:00:00,4204.03,4211.29,4174.29,4176.36,0,0,0
4/10/95,0:00:00,4192.62,4196.07,4181.2,4193.65,0,0,0
4/12/95,0:00:00,4187.08,4195.04,4182.24,4185.7,0,0,0
4/13/95,0:00:00,4187.77,4210.26,4195.73,4208.53,0,0,0
4/14/95,0:00:00,4210.95,4220.97,4202.99,4208.18,0,0,0
4/17/95,0:00:00,4208.18,4236.88,4208.87,4230.31,0,0,0
4/18/95,0:00:00,4185.7,4190.89,4183.28,4188.12,0,0,0
4/19/95,0:00:00,4188.12,4195.04,4169.1,4172.56,0,0,0
4/20/95,0:00:00,4173.25,4220.98,4157,4218.21,0,0,0
